AxiomaID,YUB73JLH6,Q8L3JXGU1,MCMGWV5N3,Y1SWVDLV8,M5NTDJFX4,H2CMWN4M0,ZUVYVKJ59,NU6R8GTD2,KL1VNCXK2,A42BM7MP7,TQ9DQQMC0,RH9MZ4QT0
YUB73JLH6,0.30729449928921504,0.04725823775333487,0.0709507459716738,0.04740244563552675,0.054871572015328024,0.056183870390156106,0.042795734028390674,0.057936220411242,0.054421769194796084,0.05132419932146035,0.05460105367098097,0.0537792474481946
Q8L3JXGU1,0.04725823775333489,0.06960316244542512,0.04575419525431893,0.03230409205383965,0.03368031972056681,0.03546753141568269,0.02947639369654297,0.028966221705502608,0.02726032283725936,0.02242616072555776,0.03286873342262501,0.024916203093187088
MCMGWV5N3,0.07095074597167376,0.04575419525431893,0.1845315410850269,0.04386223328490266,0.04794840724541203,0.04804659152247268,0.04203413852162051,0.04880294658844879,0.045812514387531686,0.03697550620027664,0.05923356215495279,0.048008938258191185
Y1SWVDLV8,0.04740244563552675,0.03230409205383965,0.043862233284902664,0.09062691938671731,0.03801160209974803,0.036252705473858025,0.0266292159360675,0.035164267393347944,0.03300531372828703,0.021200815406151537,0.03088206562388726,0.027853742632391727
M5NTDJFX4,0.05487157201532804,0.033680319720566815,0.04794840724541202,0.03801160209974802,0.10052177686727341,0.03926801761044458,0.029897142009077112,0.04600337016742881,0.043572064052524104,0.02540431384101495,0.036845062435195135,0.03183954397946675
H2CMWN4M0,0.05618387039015612,0.035467531415682686,0.04804659152247267,0.03625270547385803,0.03926801761044458,0.13164250789128074,0.02571491186503232,0.03296101574439259,0.031077880752586405,0.02383546809660311,0.03140335661309843,0.02761255761304434
ZUVYVKJ59,0.04279573402839068,0.02947639369654297,0.042034138521620516,0.026629215936067516,0.029897142009077123,0.025714911865032327,0.08099972194793616,0.057602603936427896,0.05590982982210014,0.047799027743589136,0.06283825635606469,0.05258418380280764
NU6R8GTD2,0.057936220411242016,0.028966221705502608,0.048802946588448796,0.035164267393347944,0.0460033701674288,0.03296101574439259,0.05760260393642789,0.14621302372482978,0.07698414307734924,0.0540969698518618,0.0706041174356488,0.06293449919373577
KL1VNCXK2,0.054421769194796084,0.027260322837259356,0.04581251438753168,0.03300531372828703,0.04357206405252409,0.031077880752586412,0.05590982982210012,0.07698414307734927,0.1399499926155389,0.052578371346138894,0.06835685540919559,0.06069394025510961
A42BM7MP7,0.051324199321460345,0.022426160725557757,0.03697550620027664,0.02120081540615154,0.02540431384101495,0.02383546809660311,0.047799027743589136,0.05409696985186178,0.05257837134613891,0.10187481576359432,0.05698246987581722,0.05514048972130801
TQ9DQQMC0,0.05460105367098097,0.03286873342262499,0.05923356215495281,0.03088206562388726,0.036845062435195135,0.031403356613098427,0.06283825635606466,0.07060411743564879,0.06835685540919559,0.056982469875817204,0.15811909753220063,0.06434239380216752
RH9MZ4QT0,0.05377924744819461,0.02491620309318709,0.04800893825819119,0.02785374263239173,0.031839543979466756,0.02761255761304434,0.05258418380280766,0.06293449919373577,0.06069394025510962,0.055140489721308014,0.06434239380216752,1.084354741464341
